mean,label,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
1.6468579234972678,funny,1,8,62.1,40.06,15.38,20.23,8.0,0.0,87.5,75.0,50.0,25.0,25.0,12.5,0.0,0.0,0.0,12.5,0.0,12.5,12.5,0.0,12.5,12.5,0.0,0.0,0.0,50.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,25.0,0.0,0.0,0.0,0.0,0.0,37.5,12.5,12.5,0.0,0.0,12.5,0.0,0.0
1.512288786482335,funny,1,3,10.19,1.0,99.0,20.23,3.0,0.0,66.67,66.67,66.67,33.33,33.33,33.33,0.0,0.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,66.67,33.33,0.0,0.0,0.0,33.33,0.0,0.0
1.6051282051282052,funny,1,7,2.35,1.0,24.32,20.23,7.0,28.57,71.43,71.43,71.43,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,28.57,14.29,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,14.29,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,14.29,0.0
1.542361111111111,funny,1,12,73.36,98.75,39.59,20.23,12.0,0.0,91.67,75.0,50.0,16.67,8.33,0.0,8.33,0.0,0.0,0.0,8.33,16.67,16.67,0.0,8.33,0.0,8.33,8.33,0.0,16.67,8.33,8.33,8.33,8.33,0.0,0.0,16.67,0.0,16.67,8.33,8.33,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,8.33,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,0.0,8.33,8.33,0.0,0.0,0.0,0.0,0.0,0.0,8.33,8.33,0.0,0.0,0.0,0.0,0.0,0.0
1.6399239543726236,funny,1,6,10.19,1.0,1.0,20.23,6.0,0.0,83.33,83.33,66.67,16.67,16.67,16.67,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,16.67,0.0,0.0,0.0,33.33,16.67,33.33,0.0,0.0,0.0,0.0,16.67,0.0,16.67,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,16.67,0.0,0.0,0.0,0.0
1.6035846072746442,funny,1,2,89.52,40.06,1.0,20.23,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6135593220338984,funny,1,8,99.0,1.0,99.0,20.23,8.0,25.0,87.5,75.0,50.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,12.5,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,12.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0
1.5820416889363975,funny,1,13,89.52,98.04,81.58,20.23,13.0,7.69,84.62,76.92,61.54,15.38,15.38,0.0,0.0,0.0,0.0,15.38,0.0,23.08,23.08,0.0,15.38,7.69,7.69,7.69,0.0,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,0.0,15.38,7.69,0.0,0.0,0.0,0.0,7.69,7.69,0.0,0.0,0.0,0.0,0.0,0.0,23.08,7.69,7.69,0.0,0.0,7.69,0.0,0.0
1.5277044854881263,funny,1,9,10.19,2.75,99.0,20.23,9.0,0.0,100.0,77.78,66.67,33.33,11.11,11.11,0.0,0.0,0.0,0.0,22.22,22.22,0.0,0.0,11.11,11.11,0.0,0.0,0.0,22.22,0.0,11.11,0.0,0.0,0.0,0.0,22.22,11.11,11.11,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.510204081632653,funny,1,17,89.52,1.0,12.44,1.0,8.5,23.53,94.12,64.71,64.71,17.65,0.0,0.0,0.0,0.0,0.0,0.0,17.65,17.65,17.65,0.0,17.65,5.88,5.88,0.0,5.88,5.88,0.0,0.0,5.88,0.0,0.0,5.88,11.76,0.0,11.76,0.0,0.0,0.0,5.88,0.0,5.88,0.0,11.76,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,5.88,0.0,0.0,17.65,5.88,0.0,5.88,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,5.88,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,17.65,11.76,0.0,0.0,0.0,5.88,0.0,0.0
