caption,rating
She used to think I was the center of the universe.,funny
I remember the day that Mars said “You’ll regret being habitable”,funny
Could I get some more ice?,not_funny
It's five o'clock somewhere.,somewhat_funny
Everything I drink goes to my equator.”,funny
I'll take another hurricane.,somewhat_funny
"Excuse me, but there's plastic in my water.",somewhat_funny
I have to watch what I drink—I’m bipolar.,somewhat_funny
"Another double please, I’m having a global crisis over here!",not_funny
"No, you’re the one spinning.",not_funny
"Lenny, you ever wake up one day and realize you're just not as cool as you were 100 years ago?",funny
How does it feel to be the world’s favorite bartender?,somewhat_funny
I used to be a lot cooler.,not_funny
Do you accept carbon credits?,not_funny
I was cool with moonogamy until I met Jupiter.,funny
Work's been crazy - I've been on a non-stop rotation 24/7!,funny
"The sun? Ugh, that guy thinks everything revolves around him.",not_funny
"Aw, I’m already polluted.",funny
I don't even know where to start. I have about 7 billion problems...,somewhat_funny
You ever think about where you'll be in five years?,funny
"Oh so thirsty, 96.5% ocean and not a drop to drink",somewhat_funny
I woulda given her the world!,somewhat_funny
I only drink bottled water.,somewhat_funny
Could use a little more ice please.,not_funny
Cut me off if the room stops spinning.,somewhat_funny
Just give me something that will help me forget the hot flashes,not_funny
"I’m telling you Bob, these people are killing me.",not_funny
Now she's complaining I'm TOO hot!,not_funny
I've got stage 4 humans,somewhat_funny
Life was better during the Paleozoic.,not_funny
"Actually, the moon is a real asshole.",not_funny
"On the rocks, please. Lots of them.",funny
"I'm telling ya, what goes around, comes around.",somewhat_funny
I could use some more ice.,not_funny
I just feel like I'm going in circles.,somewhat_funny
"What do you mean last call, I'm just warming up.",not_funny
Earth to bartender!,funny
"Her name was Venus. She was so hot, but she traveled in different circles.",funny
Is it just me or is it getting warmer around here?,somewhat_funny
Seriously? Do I look Flat to you?,funny
Is it me or is the room spinning?,funny
"Yeah, Venus is hot, but she's way out of my orbit.",somewhat_funny
This place could use a little atmosphere.,not_funny
"Wait, you don’t have any ice either?",funny
"I feel Ike I work so hard, and at the end of the year I’m back where I started.”",somewhat_funny
"Don’t worry, the Sun’s gravity is my designated driver.",somewhat_funny
You don't know what it's like to be a small world after all.,somewhat_funny
